Science|science
Ocean. Voice.|ocean voice
Ocean. Yearb.|ocean yearbook
Oceanis,. Doc. Oceanogr.|oceanis serie de documents oceanographiques
Oceanogr. Cruise. Rep.|oceanographical cruise report
Oceanogr. Mag.|oceanographical magazine
Oceanogr. Mar. Biol,. Annu. Rev.|oceanography and marine biology an annual review
Oceanogr. Meteorol.|oceanography and meteorolgooy
Oceanogr. Stn. List.|oceanographical station list
Oceanography|oceanography
Oceanol. Acta.|oceanologica acta
Oceanol. Hydrobiol. Stud.|oceanological and hydrobiological studies
Oceanol. Limnol. Sin.|oceanologia et limnologia sinica
Oceanologia|oceanologia
Oceanology|oceanology
Oceanorama. Inst. Oceanogr. Paul. Ricard.|oceanorama institut oceanographique paul ricard
Oceans|oceans
Oceanus|oceanus
OCS. Rep,. US. Miner. Manage. Serv.|ocs reports us minerals management service
Odonatologica|odonatologica
Oebalia|oebalia
Oecol. Aquat.|oecologia aquatica
Oecologia|oecologiea
OECS. Fish. Rep.|oecs fishery report
Oesterr. Fisch.|oesterreichs fischerei
Oesterr. Wasser. Abfallwirtsch.|oesterreichische wasser- und abfallwirtschaft
Offshore|offshore
Offshore. Eng.|offshore engineer
Offshore. Mech.|offshore mechanics
Offshore. Serv.|offshore services
Ohio. J Sci.|ohio journal of science
Oikos|oikos
Oil. Chem. Pollut.|oil and chemical pollution
Oil. Energy. Trends.|oil and energy trends
Oil. Gas. Int.|oil and gas international
Oil. Gas. J|oil and gas journal
Oil. Petrochem. Pollut.|oil and petrochemical pollution
Okeanol. Issled.|okeanologicheskie issledovaniya
Okeanologiya. (Mosc).|okeanologiya (moscow)
Okeanologiya. (Sofia).|okeanologiya (sofia)
Ol. Corps. Gras,. Lipides.|oleagineux, corps gras, lipides
Ont. Fish. Tech. Rep. Ser.|ontario fisheries technical report series
Open. Appl. Math. J|open applied mathematics journal
Open. Atmos. Sci. J|open atmospheric science journal
Open. Biochem. J|open biochemistry journal
Open. Biochem. Lett.|open biochemistry letters
Open. Biomater. J|open biomaterials journal
Open. Biomed. Eng. J|open biomedical engineering journal
Open. Biomed. EngLett.|open biomedical engineering letters
Open. Biotechnol. J|open biotechnology journal
Open. Chem. Eng. J|open chemical engineering journal
Open. Drug. Delivery. J|open drug delivery journal
Open. Drug. Delivery. Rev.|open drug delivery reviews
Open. Food. Sci. J|open food science journal
Open. Inorg. Chem. J|open inorganic chemistry journal
Open. Inorg. Chem. Rev.|open inorganic chemistry reviews
Open. Magn. Reson. J|open magnetic resonance journal
Open. Med. Chem. J|open medicinal chemistry journal
Open. Nanosci. J|open nanoscience journal
Open. Nutraceuticals. J|open nutraceuticals journal
Open. Org. Chem. J|open organic chemistry journal
Open. Phys. Chem. J|open physical chemistry journal
Open. Phys. Chem. Rev.|open physical chemistry reviews
Open. Spectrosc. J|open spectroscopy journal
Open-File. Rep,. US. Bur. Mines.|open-file report us bureau of mines
Open-File. Rep,. US. Geol. Surv.|open-file report us geological survey
Oper. Res.|operations research
Oper. Res. Perspect.|operations research perspectives
Opera. Bot.|opera botanica
Opera. Lillo.|opera lilloana
Ophelia|ophelia
Opred. Faune. SSSR.|opredeliteli po faune sssr
Opred. Presnovodn. Vodorosl. SSSR.|opredelitel' presnovodnykh vodoroslej sssr
Opt. Commun.|optics communications
Opt. Eng.|optical engineering
Opt. Express.|optics express
Opt. Fiber. Technol.|optical fiber technology
Opt. Laser. Technol.|optics &; laser technology
Opt. Lasers. Eng.|optics and lasers in engineering
Opt. Lett.|optics letters
Opt. Mater.|optical materials
Opt. Nanosc.|optical nanoscopy
Opt. Photonics Lett.|optics and photonics letters
Opt. Photonics News.|optics &; photonics news
Opt. Quantum. Electron.|optical and quantum electronics
Opt. Rev.|optical review
Opt. Spectrosc.|optics and spectroscopy
Opt. Spektrosk.|optika i spektroskopiya
Opt. Switching. Networking.|optical switching and networking
Opt. Zh.|opticheskii zhurnal
Optoelectron. Adv. Mater. Rapid. Commun.|optoelectronics and advanced materials, rapid communications
Opto-Electron. Rev.|opto-electronics review
Opusc. Zool. Flumin.|opuscula zoologica fluminensia
Or. Law. Rev.|oregon law review
Ore. Energy. Resour. Geol.|ore and energy resource geology
Ore. Geol. Rev.|ore geology reviews
Org. Biomol. Chem.|organic &; biomolecular chemistry
Org. Chem. Front.|organic chemistry frontiers
Org. Divers. Evol.|organisms diversity &; evolution
Org. Electron.|organic electronics
Org. Geochem.|organic geochemistry
Org. Lett.|organic letters
Org. Mass. Spectrom.|organic mass spectrometry
Org. Prep. Proced. Int.|organic preparations and procedures international
Org. Process. Res. Dev.|organic process research and development
Org. React.|organic reactions
Org. React. Mech.|organic reaction mechanics
Org. Synth.|organic syntheses
Organohalogen. Compd.|organohalogen compounds
Organomet. Chem.|organometallic chemistry
Orient. J Chem.|oriental journal of chemistry
Origins. Life. Evol. Biosphere.|origins of life and evolution of the biosphere
Ornis. Fenn.|ornis fennica
Ornith. Res.|ornithology research
Orsis. : Org. Sist.|orsis : organismes i sistemes
Oryx|oryx
OSA. Continuum.|osa continuum
Oseana|oseana
Osterr. Chem. Z|osterreichische chemie zeitschrift
Oxid. Med. Cell. Longevity.|oxidative medicine and cellular longevity
Oxid. Met.|oxidation of metals
Ozone. Sci. Eng.|ozone science and engineering
Pac. Conserv. Biol.|pacific conservation biology
Pac. Discov.|pacific discovery
Pac. Halibut. Fish. Regul.|pacific halibut fishery regulations
Pac. J Math. Ind.|pacific journal of mathematics for industry
Pac. Sci.|pacific science
Pac. Sci. Rev.|pacific science review
Pac. Sci. Rev. A:. Nat. Sci. Eng.|pacific science review a: natural science and engineering
Packag. Technol. Sci.|packaging technology and science
Pain. Med.|pain medicine
Pak. J Anal. Chem.|pakistan journal of analytical chemistry
pak. J Anal. Environ. Chem.|pakistan journal of analytical &; environmental chemistry
Pak. J Biochem. Mol. Biol.|pakistan journal of biochemistry and molecular biology
Pak. J Biol. Sci.|pakistan journal of biological sciences
Pak. J Bot.|pakistan journal of botany
Pak. J Mar. Sci.|pakistan journal of marine sciences
Pak. J Pharmacol.|pakistan journal of pharmacology
Pak. J Sci.|pakistan journal of science
Pak. J Sci. Ind. Res.|pakistan journal of scientific and industrial research
Pak. J Sci. Res.|pakistan journal of scientific research
Pak. J Zool.|pakistan journal of zoology
Pak. Seaf. Dig.|pakistan seafood digest
Palaentolog. Z|palaeontologische zeitschrift
Palaeobiodivers. Palaeoenviron.|palaeobiodiversity and palaeoenvironments
Palaeogeogr. Palaeoclimatol. Palaeoecol.|palaeogeography, palaeoclimatology, palaeoecology
Palaeontol. Electronica.|palaeontologia electronica
PalArch's. J  Vertebr. Palaeontol.|palarch's journal of vertebrate palaeontology
Paleobiology|paleobiology
Paleoceanogr. Paleoclimatol.|paleoceanography and paleoclimatology
Paleontol. Bull.|paleontological bulletin
Paleontol. Mex.|paleontologia mexicana
Paleontolog. J|paleontological journal
Paleontolog. Res.|paleontological research
Paleontology|paleontology
Panorama. Atunero.|panorama atunero
Panorama. Pesq.|panorama pesquero
Pan-Pac. Entomol.|pan-pacific entomologist
Pap. Avulsos. Zool.|papeis avulsos de zoologia
Pap. Celul.|papir a celuloza
Pap. Dep. Mar. Biol. Carnegie. Inst. Wash.|papers from the department of marine biology of the carnegie institution of washington
Pap. Meteorol. Geophys.|papers in meteorology and geophysics
Pap. Mich. Acad. Sci,. Arts. Lett.|papers of the michigan academy of science, arts and letters
Pap. Mich. Acad. Sci,. Arts. Lett,. I|papers of the michigan academy of science, arts and letters part i
Pap. Palaeontol.|papers in palaeontology
Pap. Phys. Oceanogr. Meteorol.|papers in physical oceanography and meteorology
Pap. Proc. R Soc. Tasman.|papers and proceedings of the royal society of tasmania
Pap. Puu.|paperi ja puu
Pap. Tortugas. Lab. Carnegie. Inst. Wash.|papers from the tortugas laboratory of the carnegie institution of washington
Parallel. Comput.|parallel computing
Parasites. Vectors.|parasites and vectors
Parasitica|parasitica
Parasitol. Res.|parasitology research
Parasitology|parasitology
Parassitologia|parassitologia
Parazitol. Sb.|parazitologicheskij sbornik
Parazitologiya|parazitologiya
Part. Fibre. Toxicol.|particle and fibre toxicology
Part. Part. Syst. Char.|particle and particle systems characterization
Part. Sci. Technol.|particulate science and technology
Pathol. Oncol. Res.|pathology &; oncology research
Pathol. Res. Pract.|pathology, research and practice
Pattern. Recognit.|pattern recognition
Pattern. Recognit. Image. Anal.|pattern recognition and image analysis
Pattern. Recognit. Lett.|pattern recognition letters
Pattern. Recognit. Phys.|pattern recognition in physics
Phys. Chem. Chem. Phys.|physical chemistry chemical physics
PDA. J Pharm. Sci. Technol.|pda journal of pharmaceutical science and technology
Peche. Marit.|la peche maritime
Pediatr. Radiol.|pediatric radiology
Pediatr. Res.|pediatric research
PeerJ|peerj
PeerJ. Anal. Chem.|peerj analytical chemistry
PeerJ. Comput. Sci.|peerj computer science
PeerJ. Inorg. Chem.|peerj inorganic chemistry
PeerJ. Mater. Sci.|peerj materials science
PeerJ. Org. Chem.|peerj organic chemistry
PeerJ. Phys. Chem.|peerj physical chemistry
Pelagos:. Bull. Inst. Sci. Mer. Amenage. Littoral.|pelagos : bulletin de l'institut des sciences de la mer et de l'amenagement du littoral
People. Nat.|people and nature
Pept. Sci.|peptide science
Perangkaan. Tahunan. Perikanan. Jabatan. Perikanan. (Malays).|perangkaan tahunan perikanan jabatan perikanan (malyasia)
Period. Biol.|periodicum biologorum
Permafrost. Periglacial. Processes.|permafrost and periglacial processes
Perspect. Drug. Discovery. Des.|perspectives in drug discovery and design
Perspect. Med. Chem.|perspectives in medicinal chemistry
Perspect. Sci.|perspectives in science
Pertanika. J Trop. Agric. Sci.|pertanika journal of tropical agricultural science
Peru. Pesq.|peru pesquero
Perv. Glob. Ehksp. PIGAP.|pervyj global'nyj ehksperiment pigap
Pervasive. Mob. Comput.|pervasive and mobile computing
Pesca|pesca
Pesca. Mar. Barco. Pesq.|pesca marina y el barco pesquero
Pesca. Naveg.|pesca e navegacao
Pesce|il pesce
Pesqui. Antart. Bras.|pesquisa antartica brasileira
Pesqui. Nav.|pesquisa naval
Pest. Manage. Hortic. Ecosyst.|pest management in horticultural ecosystems
Pest. Manage. Sci.|pest management science
Pestic. Biochem. Physiol.|pesticide biochemistry and physiology
Pestic. Outlook.|pesticide outlook
Pet. Chem.|petroleum chemistry
Pet. Coal.|petroleum and coal
Pet. Eng. Int.|petroleum engineer international
Pet. Explor. Dev.|petroleum exploration and development
Pet. Geosci.|petroleum geoscience
Pet. Rev.|petroleum review
Pet. Sci.|petroleum science
Pet. Sci. Technol.|petroleum science and technology
Pfluegers. Arch.|pfluegers archiv
Pfluegers. Arch. Gesame. Physiol. Menschen. Tiere.|fluegers archiv für die gesamte physiologie des menschen und der tiere
PGA. Proc. Geol. Assoc.|pga proceedings of the geologists' association
PHAGE:. Ther. Appl. Res.|phage: therapy, applications, and research
Pharm. Acta. Helv.|pharmaceutica acta helvetiae
Pharm. Biol.|pharmaceutical biology
Pharm. Chem. J|pharmaceutical chemistry journal
Pharm. Methods.|pharmaceutical methods
Pharm. Pat. Anal.|pharmaceutical patent analyst
Pharm. Pharmacol. Commun.|pharmacy and pharmacology communications
Pharm. Pharmacol. Lett.|pharmaceutical and pharmacological letters
Pharm. Res.|pharmaceutical research
Pharm. Sci. Technol. Today.|pharmaceutical science &; technology today
Pharm. Stat.|pharmaceutical statistics
Pharm. Technol.|pharmaceutical technology
Pharm. Today.|pharmacy today
Pharm. Unserer. Zeit.|pharmazie in unserer zeit
Pharm. Zentralhalle. Dtschl.|pharmazeutische zentralhalle für deutschland
PharmacoEcon. Open.|pharmacoeconomics - open
Pharmacoepidemiol. Drug. Saf.|pharmacoepidemiology and drug safety
Pharmacogenet. Genomics.|pharmacogenetics and genomics
Pharmacogenomics. J|pharmacogenomics journal
Pharmacogenomics. Pers. Med.|pharmacogenomics and personalized medicine
Pharmacogn. Mag.|pharmacognosy magazine
Pharmacogn. Res.|pharmacognosy research
Pharmacogn. Rev.|pharmacognosy reviews
Pharmacol.  Biochem. Behav.|pharmacology, biochemistry and behavior
Pharmacol. Biochem. Behav.|pharmacology biochemistry and behavior
Pharmacol. Rep.|pharmacological reports
Pharmacol. Res.|pharmacological research
Pharmacol. Res. Commun.|pharmacological research communications
Pharmacol. Res. Perspect.|pharmacology research &; perspectives
Pharmacol. Ther.|pharmacology &; therapeutics
Pharmacol. Ther. Part. A|pharmacology &; therapeutics part a: chemotherapy, toxicology and metabolic inhibitors
Pharmacol. Ther. Part. B|pharmacology &; therapeutics part b: general and systemic pharmacology
Pharmacol. Ther. Part. C|pharmacology &; therapeutics part c: clinical pharmacology and therapeutics
Pharmacol. Ther,. Part. A|pharmacology &; therapeutics, part a: chemotherapy, toxicology and metabolic inhibitors
Pharmacol. Ther,. Part. B|pharmacology &; therapeutics, part b: general &; systematic pharmacology
Pharmacol. Ther,. Part. C|pharmacology &; therapeutics, part c: clinical pharmacology and therapeutics
Phase. Transitions.|phase transitions
Philipp. J Sci.|philippine journal of science
Philips. J Res.|philips journal of research
Philos. Mag.|philosophical magazine
Philos. Mag. A|philosophical magazine a
Philos. Mag. B|philosophical magazine b
Philos. Mag. Lett.|philosophical magazine letters
Philos. Trans. R Soc. Lond,. A|philosophical transactions of the royal society of london series a physical sciences and engineering
Philos. Trans. R Soc. Lond,. B|philosophical transactions of the royal society of london series b biological sciences
Philos. Trans. R Soc. London,. Ser. A|philosophical transactions of the royal society of london, series a: mathematical, physical and engineering sciences
Philos. Trans. R Soc. London,. Ser. B|philosophical transactions of the royal society of london, series b: biological sciences
Phosphorus. Sulfur. Rel. Elem.|phosphorus sulfur and related elements
Phosphorus,. Sulfur. Silicon. Relat. Elem.|phosphorus sulfur silicon and the related elements
Photochem. Photobiol.|photochemistry and photobiology
Photochem. Photobiol. Sci.|photochemistry &; photobiological sciences
Photodermatol. Photoimmunol. Photomed.|photodermatology, photoimmunology &; photomedicine
Photodiagn. Photodyn. Ther.|photodiagnosis and photodynamic therapy
Photogramm. Eng. Remote. Sens.|photogrammetric engineering and remote sensing
Photogramm. Rec.|photogrammetric record
Photomed. Laser. Surg.|photomedicine and laser surgery
Photonics Nanostruct. Fundam. Appl.|photonics and nanostructures - fundamentals and applications
Photonics Res.|photonics research
Photosynth. Res.|photosynthesis research
Photosynthetica|photosynthetica
Photovoltaics. Bull.|photovoltaics bulletin
Phycol. Res.|phycological research
Phycologia|phycologia
Phykos|phykos
Phys. At. Nucl.|physics of atomic nuclei
Phys. Biol.|physical biology
Phys. Chem. Earth.|physics and chemistry of the earth
Phys. Chem. Earth. Part. A|physics and chemistry of the earth, part a: solid earth and geodesy
Phys. Chem. Earth. Part. B|physics and chemistry of the earth, part b: hydrology, oceans and atmosphere
Phys. Chem. Earth. Part. C|physics and chemistry of the earth, part c: solar, terrestrial &; planetary science
Phys. Chem. Glasses.|physics and chemistry of glasses
Phys. Chem. Liq.|physics and chemistry of liquids
Phys. Chem. Miner.|physics and chemistry of minerals
Phys. Commun.|physical communication
Phys. Dark. Universe.|physics of the dark universe
Phys. Earth. Planet. Inter.|physics of the earth and planetary interiors
Phys. Educ.|physics education
Phys. Educ. Res.|physics education research
Phys. Fluids.|physics of fluids
Phys. Fluids. A|physics of fluids a
Phys. Fluids. B|physics of fluids b
Phys. J|physik journal
Phys. Lett. A|physics letters a
Phys. Lett. B|physics letters b
Phys. Life. Rev.|physics of life reviews
Phys. Med.|physics in medicine
Phys. Med. Biol.|physics in medicine and biology
Phys. Mesomech.|physical mesomechanics
Phys. Met.|physics of metals
Phys. Met. Metall.|physics of metals and metallography
Phys. Oceanogr.|physical oceanography
Phys. Open.|physics open
Phys. Part. Nucl.|physics of particles and nuclei
